predict_summary,refer
"美国海军在其舰船上首次安装了由金属3D打印解决方案开发商Meltio和Haas提供的菲利普斯混合金属3D打印解决方案。该解决方案将Meltio的激光金属沉积技术与Haas的数控铣床相结合，用于调节USS Bataan舰上的铣床。海军大西洋舰队司令布伦丹·麦克莱恩少将表示：“将增材制造引入海军作战支持了战备能力和自给自足。”
美国海军如何从这一合作中受益？
这个新项目是向海事领域的工业规模应用迈进的一步，得益于Meltio的易于使用的金属丝激光3D打印技术。Meltio曾与Haas在各个领域和国家的混合系统项目上合作。该混合系统能够进行增材制造和减材制造。美国海军在这个项目中将这些技术结合在USS Bataan舰上。
菲利普斯混合金属3D打印系统采用了Meltio的金属丝激光沉积头和Haas TM-1数控铣床，作为海军大西洋舰队司令部和海军海洋系统指挥部（NAVSEA）技术办公室之间合作计划的一部分进行安装。Haas TM-1框架已在多个航空母舰上的浮动环境中证明了其可靠性。当与Haas TM-1结合使用时，Meltio沉积头在一个系统内提供了增材制造和减材制造的能力，提高了效率，降低了与传统加工相比的浪费。
通过在舰船上永久安装第一台金属3D打印机，美国海军增强了提高装备舰船和船员自给自足能力的努力，并通过利用增材制造技术缩短供应链时间。工程师们将使用增材制造技术将多种材料整合在一起，根据3D模型数据逐层制造零部件，与减材制造和成形制造方法相比，提高了效率。
菲利普斯混合金属3D打印系统可以打印316L不锈钢，这在美国海军舰船系统中常用。虽然不锈钢增材制造在海军舰船上是最新的，但它代表了向航海员提供工业级制造功能的重要进展，可以打印以前无法购买的系统中的单个零部件，而且成本要高得多。
Meltio的Engine 3D打印的好处是双重的；它提高了操作可用性，同时减少了对传统和海军专用供应链的需求。此外，NAVSEA工程师在Bataan舰上安装了第二台3D打印机，用于制造聚合物（塑料）零部件。这台打印机使船员能够打印NAVSEA创建的300多个增材制造技术数据包中的任何一个，这些数据包描述了生产零部件所需的设计配置和工艺，并保证其正常运行。
NAVSEA首席工程师杰森·劳埃德",美国海军在军舰上安装了首台菲利普斯增材混合式（Phillips Additive Hybrid）金属3D打印系统，该系统由金属3D打印机开发商Meltio和Haas公司提供。在Haas TM-1计算机数控铣床上集成了Meltio的激光金属沉积头，能够同时进行增材与减材制造，与传统加工相比，可提高效率并减少浪费。美海军正在将这些技术结合到巴丹号航母项目中，该系统将帮助海军克服舰船老化及系统过时问题，降低对常规与海军特定供应链的需求，提高作战适应性。海军海上系统司令部（NAVSEA）的工程师在巴丹号上安装第二台3D打印机，用于制造聚合物部件。
"美国国防部授予Leidos一项15亿美元的任务订单，以支持全球任务的快速技术插入。
技术插入是在已建立的框架内整合新的硬件和软件能力，以提供特定功能的更高性能。
根据协议，Leidos将利用指挥、控制、计算机、通信、网络、情报、监视和侦察（C5ISR）能力，改进多个服务和任务的技术插入创新。
C5ISR是一个扩展的指挥和控制框架，提供网络安全、可靠的数据和通信访问，以增强士兵和指挥官在复杂任务中的态势感知和决策能力。
该公司将将新技术整合到现有和传统系统中，以提高C5ISR操作的有效性，支持作战人员。
该合同有一个一年的基础期限，还有四个可选年限。该项目的工作将在全球多个地点进行。
“在今天的战场上，能够最快地获得可行的多领域和跨领域数据的指挥者就是占据制高点的人，”Leidos国防集团总裁Gerry Fasano说。
“Leidos已经精心调整了我们的专业知识组合，并开发了一个动态的C5ISR解决方案企业套件，包括联合全领域指挥和控制（JADC2）工具，以确保我们的作战人员利用先进技术来保持他们的决定性优势，并为操作上的优势实现联合协同。”
“我们很荣幸能支持这一关键任务，提供对不断演变的全球威胁的准备。”
美国海军的C5ISR支持
今年1月，美国海军授予BAE Systems一份为期五年的合同，以支持其C5ISR系统。
该协议包括在役工程、后期部署和维持支持，以及在军事服务和美国国防设施中进行的重大C5ISR技术升级。",近日美国防部授予雷多斯公司一份价值15亿美元的合同，旨在支持基于全球任务的快速技术投入（Technology Insertion），即在已有架构内集成新的软硬件功能以提高相关特定服务的性能。根据这份包括一年基础选项和四年可选选项的合同，雷多斯公司将利用其在指挥、控制、计算、通信、网络、情报、监视和侦察（C5ISR）的能力，通过开发一套涵盖联合全域指挥和控制（JADC2）工具的动态C5ISR解决方案企业级套件，在全球多个地点将新技术整合到在研和在用的系统中，为多种服务和任务改进提供快速投入创新以提高使用效率，并有效支撑多域作战和跨域作战。
据国防工业消息人士透露，最新的液体燃料洲际弹道导弹（ICBM）萨尔马特的首次发射被推迟到2022年。根据早前的计划，萨尔马特的试射计划已经重新调整，今年只有一次发射将在普列谢茨克航天中心进行。萨尔马特是俄罗斯先进的基于地下发射井的系统，搭载有重型液体推进剂洲际弹道导弹。它自2000年代以来一直在研发中，以取代R-36M2 Voyevoda ICBM。它重约200吨，有效载荷约为10吨。萨尔马特能够突破任何现有和未来的导弹防御系统。,俄罗斯国防工业一位消息人士透露，作为飞行测试的一部分，俄罗斯“萨尔马特”洲际弹道导弹的首次试射计划已从2021年12月推迟到2022年第一季度。此前，俄罗斯重新调整了“萨尔马特”导弹的试射计划，2021年只计划在普列谢茨克发射场进行一次试射。据此前报道，俄罗斯首个“萨尔马特”洲际弹道导弹团将于2022年底开始在乌茹尔服役。乌茹尔正在建设相关基础设施。目前，俄罗斯正在进行“萨尔马特”导弹飞行测试准备工作。RS-28“萨尔马特”洲际弹道导弹最大射程为18000千米，重约200吨，发射有效载荷10吨，使用先进发射井系统和液体推进剂。该导弹能突破任何现有的导弹防御系统，未来将取代SS-18“撒旦”洲际弹道导弹。
2023年1月3日，加利福尼亚州帕尔姆代尔——12月2日黄昏时分，随着音乐的响起和成千上万名工人和贵宾的掌声，诺斯罗普·格鲁曼公司的员工们从B-21突袭者上除去了一层白色的覆盖物，并将其从机库中拖出，供全世界看到。至少大部分飞机是这样的。轰炸机的四分之一——尾部——被保留在空军机库42号，以防止空中情报看到后部部分，这是赋予飞机隐身能力的关键部分。然而，那天天空多云，所以窥探的间谍卫星也看不到太多。揭幕仪式后，国防部长劳埃德·奥斯汀三世在讲话中表示，B-21“证明了美国在智慧和创新方面的持久优势，也证明了国防部长期致力于建设先进能力，以加强美国今天和未来的抵御侵略能力。”B-21突袭者被称为“第六代飞机”，是一种低可观测性的战略轰炸机，能够突破敌方防空系统，投送核武器或常规武器深入敌方领土，并无人发现地返回美国的基地。尽管首次向公众展示了这款国家最新的远程战略轰炸机，但这仍然是一个绝密计划，正如诺斯罗普·格鲁曼公司的高管和空军人员在一天的一系列简报中提醒记者的那样。机翼展长多少？他们无法透露。飞机的航程是多少？不能告诉你。每架飞机将花费纳税人多少钱？这是机密的。然而，该公司和政府代表确实有一个好消息要告诉大家：也就是工业界和空军在2015年签订合同后，在短短七年多的时间里，从概念到生产了六个不同阶段的原型机。预计测试飞行将于2023年开始，这意味着该计划可能在八年内从概念到飞行。诺斯罗普·格鲁曼公司计划在2020年代中期向空军交付首批突袭者。首个中队将驻扎在南达科他州的埃尔斯沃斯空军基地。“我们正在将未来的技术带到现在，”诺斯罗普·格鲁曼公司总裁兼首席执行官凯西·沃登在飞机首次亮相前的新闻发布会上说。“这不仅关乎飞机技术的进步意味着什么，还关乎我们开发这款飞机的方式。”B-21从一开始就是一款数字化设计的轰炸机，这意味着该公司放弃了传统的纸上设计、CAD文件和粘土模型的方式，拥抱了数字工程的新时代。这种技术使用计算机建模和代表复杂系统特征的数据。工程师们可以在计算机模拟上进行组件测试，而不是建造真实世界的等效物，这,美国最新型B-21“突袭者”隐形轰炸机从设计、研制到维护全生命周期都采用了数字工程技术。研究人员构建了一个数字虚拟环境，并在其中创建了真实飞机的完整数字孪生体。由飞行员、测试员、设计师等组成的研究团队可以在数字环境中对飞机进行数千次设计迭代以确定最终设计方案。数字工程能够实现研究团队异地协同工作，加快飞机研制速度，降低研制风险。研究人员表示，后续还将进行真实试飞测试，作为虚拟测试的补充。另外，该飞机还采用全数字开放式架构，使飞机更具适应性，能对电子系统进行不断升级以应对潜在敌手威胁。
L3Harris公司计划增加对激光通信公司Mynaric的战略投资，并计划在太空和其他领域增加对该技术的使用。7月5日，两家公司宣布L3Harris将向Mynaric投资1120万欧元（1140万美元），并持有这家总部位于慕尼黑的公司7.2%的股份。L3Harris公司表示，将扩大对Mynaric系统的使用，包括太空等其他领域。L3Harris公司企业战略和发展副总裁丹尼尔·吉特索维奇在一份声明中表示：“激光通信正迅速成为跨领域指挥和控制能力的技术支柱，涵盖太空、空中、海上和陆地领域。”他还表示：“Mynaric将成为我们快速满足客户对高带宽和安全连接需求的优秀合作伙伴。”作为投资的一部分，Mynaric将成为L3Harris的“首选供应商”激光通信系统。两家公司还将在该技术上展开合作，包括获得Mynaric创建的实验室和测试平台，以模拟太空与地面之间的激光通信。这些测试可能会延伸到太空本身。Mynaric在5月份宣布与空中客车美国航天与国防公司达成协议，在国际空间站上由空中客车操作的Bartolomeo外部负载架上安装CONDOR Mark 2激光终端。该终端将于今年秋天交付到空间站，用于激光通信测试。Mynaric首席执行官布伦特·阿尔坦在有关交易的声明中表示：“L3Harris是一个优秀的合作伙伴，将进一步加速我们工业化激光通信产品在多个市场领域的部署，并期待进一步加深我们的合作关系。”Mynaric一直与其他公司合作展示太空激光通信。诺斯罗普·格鲁曼公司于2021年11月选择Mynaric作为此类系统的“战略供应商”，并于6月14日宣布使用Mynaric终端进行光通信地面测试。诺斯罗普计划将该技术用于其为太空发展局的传输层第一批通信网络建造的航天器上的星间链接。Mynaric在德国法兰克福证券交易所和美国纳斯达克交易所上市。该公司于去年11月在纳斯达克上市，并于7月5日宣布L3Harris交易之前，收盘价接近最低点，为每股6.63美元。在法兰克福交易所上，该公司股价在7月6日中午交易时上涨了超过11%，在过去一年中下跌了60%以上。,7月5日，L3哈里斯科技宣布将向德国米纳瑞克（Mynaric）激光通信公司投资1120万欧元（1140 万美元），持有该公司7.2%的股份。使用米纳瑞克的HAWK终端进行机载激光通信的L3哈里斯公司表示米纳瑞克公司将成为其激光通信系统的“首选供应商”，将扩大米纳瑞克激光通信系统在太空及其他领域的应用。两家公司还将在此类技术上进行深度合作，包括使用米纳瑞克的系统搭建实验室和试验台，进行太空和地面之间的激光通信仿真试验。米纳瑞克公司在空间激光通信领域一直保持与其他公司开展合作。诺斯罗普·格鲁曼公司于2021年11月选择米纳瑞克公司作为激光通信系统的“战略供应商”，并于今年6月14日宣布使用米纳瑞克公司研制的终端进行激光通信地面试验。诺格公司计划将该技术用于国防太空体系传输层1批“光学星间链路”。
"莫斯科，11月19日/TASS/. Splav研究与生产协会（隶属于国家技术公司Rostec旗下的Technodinamika控股公司）计划为空降部队开发最新的122毫米“龙卷风-G”多管火箭发射系统的空投版本，Splav首席执行官亚历山大·斯米尔诺夫在周五告诉TASS。
首席执行官表示：“新的国家军备计划可能会包括一种新的改型，即装在新底盘上的空投型‘龙卷风-G’。我们已经准备好进行这项工作，决策权在于客户（俄罗斯国防部）。”
“龙卷风-G”是一种122毫米多管火箭发射器，源自“格拉德”系统。这种新型多管火箭发射系统可以从未准备好的位置进行自动射击，可以快速开火并直接从机组舱切换到行军模式并改变射击位置。
之前，苏联空降部队装备了装在GAZ-66B卡车底盘上并配备有12个发射管平台的“格拉德-V”空运多管火箭发射系统。
Splav研究与生产协会正在为俄罗斯海军开发多管火箭发射系统，以进行炮击和火箭打击，并提供对抗水下武器的防御，首席执行官表示。
首席执行官指出：“Splav目前正在继续为海军创建火箭发射系统，以在作战和操作特性上超越它们的前身。它们旨在执行打击任务并提供对抗海上水下武器的防御。”
Splav研究与生产协会开发的多管火箭发射系统已经在俄罗斯海军中投入使用，首席执行官表示。
“我们的企业开发的‘格拉德-M’、‘扎帕德’和‘乌达夫-1M’火箭发射系统已经在俄罗斯海军中服役，”他说。
Splav首席表示，最新的多管火箭发射系统“龙卷风”家族已经证明自己是一种可靠而有效的武器。
“目前，‘龙卷风’家族包括122毫米‘龙卷风-G’和300毫米‘龙卷风-S’多管火箭发射器。已经服役的‘龙卷风-G’和‘龙卷风-S’系统已经证明自己是高度有效和可靠的武器，符合当今的最高要求，”他强调道。
首席执行官表示，多管火箭发射系统“龙卷风”将在很长一段时间内仍然是强大的武器。
“这些是概念上的新系统，它们的效能将持续多年，”他强调。
300毫米“龙卷风-S”远程多管火箭发射系统可以在120公里的范围内攻击目标，覆盖面积超过60公顷。该系统能够同时发射单发火箭和12个发射管的齐射。
Splav研究与生产协会已经开始批量生产最新的智能火箭，用于300毫米“龙卷风-S”多管火箭发射","俄“合金”（Splav）国营科研生产联合体首席执行官亚历山大·斯米尔诺夫表示，将为俄空降部队开发可空投的122毫米“龙卷风”-G多管火箭系统。
“龙卷风”-G是在“冰雹”（Grad）系统基础上改进的122毫米多管火箭发射器。该新型多管火箭发射系统可以不固定位置自动射击，即从舱内模式直接切换至运动模式，改变射击位置，进行射击。
“合金”公司负责人表示，目前，“龙卷风”系列多管火箭系统由122毫米“龙卷风”-G系统和300毫米“龙卷风”-S多管火箭发射系统组成，可满足未来高性能需求。其中，龙卷风-S远程火箭系统可打击120公里范围内的作战目标，覆盖面积超过60公顷（约60万平方米）。"
"巴西航空公司Embraer今天宣布推出一系列概念飞机，旨在帮助航空业在2050年实现零碳排放的目标。这个名为Energia家族的最新项目是该公司可持续行动计划的一部分，通过YouTube直播，从位于圣何塞-杜斯坎波斯的Embraer制造工厂传达了详细信息。
该公司与国际工程大学、航空研究机构和中小型企业的联合体合作，以更好地了解能源收集、储存、热管理及其在可持续飞机推进中的应用。
Energia家族由四种不同尺寸的概念飞机组成，采用不同的推进技术，包括电动、氢燃料电池、双燃料燃气涡轮和混合动力。
Energia混合动力 (E9-HE)
- 混合动力推进
- 最多可减少90%的二氧化碳排放
- 9个座位
- 后置发动机
- 技术准备就绪-2030年
Energia电动 (E9-FE)
- 全电动推进
- 零二氧化碳排放
- 9个座位
- 后置相对旋转螺旋桨
- 技术准备就绪-2035年
Energia H2燃料电池 (E19-H2FC)
- 氢电动推进
- 零二氧化碳排放
- 19个座位
- 后置电动发动机
- 技术准备就绪-2035年
Energia H2燃气涡轮 (E50-H2GT)
- 氢或SAF/JetA涡轮推进
- 最多可减少100%的二氧化碳排放
- 35至50个座位
- 后置发动机
- 技术准备就绪-2040年
每种飞机都正在评估其技术和商业可行性。
Embraer的高级副总裁Luis Carlos Affonso解释了Energia家族的理念。“我们将自己定位为新技术的开发者，以帮助航空业实现可持续发展目标。要实现零碳排放并不容易，也没有单一的解决方案。新技术及其支持基础设施将逐步投入使用。我们正在努力完善首批飞机概念，这些概念可以尽早减少排放。小型飞机非常适合测试和验证新的推进技术，以便将其扩展到大型飞机。这就是为什么我们的Energia家族如此重要的原因。”
Embraer商用航空总裁兼首席执行官Arjan Meijer谈到了公司在可持续性方面的战略。“我们将看到航空业向更可持续的方向发展。凭借50年来在开发、认证和支持区域飞机方面的经验，Embraer处于独特的位置，可以使新的颠覆性绿色技术得以推广。”
尽管Energia飞机仍处于概念阶段，Embraer已经在减少其飞机排放方面取得了进展。该公司已在其E-Jets系列上测试了可持续航空燃料（SAF），包括甘蔗和小亚","巴西航空工业公司当日推出Energia系列概念飞机，均采用可再生能源推进技术。
Energia系列是该公司“可持续发展行动”倡议的最新项目。该公司正在与一个由工程大学、航空研究机构和中小企业组成的国际联盟合作，以更好地了解能源收集、存储、热管理及其在可持续飞机推进中的应用。该公司正在探索加速航空业实现2050年净零碳排放的目标。Energia系列由四种不同尺寸的概念飞机组成，分别采用不同的推进技术——电动、氢燃料电池、双燃料燃气轮机和混合动力。目前公司正在对每架飞机进行技术与商业可行性评估。
Energia混合（E9-HE）
? 混合动力推进
? 可减少90%的二氧化碳排放
? 9座
? 后置发动机
? 技术准备就绪-2030年
Energia电动（E9-FE）
? 全电力推进
? 零二氧化碳排放
? 9座
? 后对转螺旋桨
? 技术准备就绪- 2035年
Energia H2燃料电池（E19-H2FC）
? 氢电力推进
? 零二氧化碳排放
? 19座
? 后置电动发动机
? 技术准备就绪- 2035
Energia H2燃气轮机（E50-H2GT）
? 氢或SAF/JetA推进
? 100%的二氧化碳减排
? 35~50座
? 后置引擎
? 技术准备就绪- 2040"
"2023年1月12日
W80-4寿命延长计划的工程师们正在对模拟测试装置进行环境测试。照片由Garry McLeod/LLNL提供。
W80-4寿命延长计划团队于去年11月在新墨西哥州阿尔伯克基的柯特兰空军基地的空军核武器中心成功进行了初步设计评审和验收小组（PDRAAG）评审。
PDRAAG的评审是与国防部进行的关键中期评审，以展示弹头基线设计符合国防部要求，即军事特性（MC），并在储存到目标序列（STS）环境中展示其生存和性能。完成评审代表着一个重要的里程碑，也是核武器生命周期中6.4阶段——生产工程——的几个入场标准之一。
在评审结束后，独立小组确认国家核安全局（NNSA）的设计将满足W80-4的MC和STS要求。PDRAAG的评审人员包括来自空军、海军和陆军的高级技术人员，他们是核武器设计、生产和部署方面的专家。
“LLNL和Sandia联合的PDRAAG评审团队表现得像一个无缝统一的团队，收集信息并向设计评审和验收小组成员呈现。”劳伦斯利弗莫尔国家实验室（LLNL）W80-4计划经理汤姆·霍里洛说道。“很明显，我们团队的演示让他们对W80-4的设计充满信心。”
这次为期四天的评审伴随着一份详尽的初步武器开发报告，详细介绍了弹头的设计和合格性。准备工作需要与LLNL和核安全企业的合作伙伴进行数月的紧密协作。PDRAAG小组特别认可与国防部的跨团队协调以及与能源部组织之间的强大合作伙伴关系。
“这对W80-4计划来说是一个重要且成功的里程碑，我们都可以为此感到自豪。”W80-4联邦计划经理汤姆·托马西称赞LLNL员工的专业精神和奉献精神。
“评审不仅是实验室众多人员的巨大努力，而且还有一个更大的团队参与了评审中展示的设计工作。”
完成PDRAAG评审后，W80-4寿命延长计划团队正朝着NNSA授权继续进行6.4阶段的目标迈进，预计将于2023年实现。",美国W80-4核弹头延寿计划团队2022年11月在新墨西哥州柯特兰（Kirtland）空军基地空军核武器中心成功通过了初步设计评审和验收小组（PDRAAG）的评审。该评审是美国国防部进行的一次关键的中期计划评审，以表明弹头基线设计符合国防部军事特性（MC）的要求。完成该评审标志着实现了一个重要里程碑，也是进入核武器寿期“第6.4阶段：生产工程”的几个门槛标准之一。评审结束后，评审专家确认美国国家核军工管理局（NNSA）的设计将满足W80-4军事特性和库存至目标序列的要求。评审专家来自空军、海军和陆军的高级技术人员，是核武器设计、生产和部署方面的专家。W80-4延寿计划预计2023年将进入“第6.4阶段：生产工程”。W80-4是现役弹头W80-1的改进版。2019年2月，美国核武器委员会批准W80-4的研制进入到“第6.3阶段：工程设计”。
"根据陆军快速能力和关键技术办公室主任尼尔·瑟古德中将的讲话，定向能量机动短程防空系统将参加今年秋季的“项目融合21”演习。他在8月11日的太空和导弹防御研讨会上表示，陆军最近还完成了与定向能量机动短程防空系统的射击比赛。他说：“年轻的士兵喜欢这个东西。”在原型演示中，士兵们能够在不到一个小时的时间内学会系统的控制，而瑟古德本人则需要近六个小时。

2022财年将向欧洲部署四个定向能量机动短程防空系统的排，它们将与动能型机动短程防空系统一起组成一个炮兵连。这两个系统都基于斯特赖克战斗车辆，定向能量系统配备了一个50千瓦的固态激光器，可以击落敌方无人机、火箭和迫击炮。

瑟古德表示，该项目的管理将在2023财年从快速能力和关键技术办公室转交给导弹和太空项目执行办公室。他说，通过传统官僚结构的崩溃和与其他利益相关方的增加接触，快速能力和关键技术办公室已经证明了陆军仍然能够快速开发和部署新技术。他说：“我们可以做难事，而且可以快速做难事。”

此外，瑟古德表示，快速能力和关键技术办公室的快速原型项目不需要太多的官僚审批才能推进。他说，与开发过程中的项目相比，该办公室向承包商提供了更详细的计划和预算。承包商也被要求向军方更加透明，就项目的预算和时间表进行沟通。起初，行业对这些努力持抵制态度，但后来他们都遵守了。

瑟古德表示，第一批8枚远程高超音速武器的部署计划仍按计划进行，预计将在2023财年部署，这将比该项目交给快速能力和关键技术办公室的时间晚四年多。他说，士兵们已经在超过1000小时的接触中测试和实践了将用于远程高超音速武器的装备。士兵的测试对于快速原型方法在快速能力和关键技术办公室和陆军未来司令部的应用至关重要。

陆军计划在第一批部署之前对远程高超音速武器的通用滑翔体进行三次试飞，一位军方官员在8月10日的太空和导弹防御研讨会上表示。瑟古德表示，快速能力和关键技术办公室将按计划在2023财年交付中程能力的第一批部署。该系统将使用海军的“战斧”和“SM-6”导弹，发射器将与陆军的“爱国者”导弹、精确打击导弹和制导多重发射火箭系统兼容",美国陆军快速能力与关键技术办公室主任尼尔·瑟古德中将透露，美国陆军最近完成了定向能机动短程防空系统（DE M-SHORAD）的发射试验，该系统将参加今年秋天的“融合项目21”演习。在原型系统的验证中，士兵们能在1小时内学会控制该系统。2022财年，美军将在欧洲部署一个配备有四套定向能机动短程防空原型系统的排，整合到一支具有动能机动短程防空系统的连队中。这两种系统都装备在“史崔克”装甲战车上，该战车的定向能改型装配有一个50千瓦的固态激光器，可以击落敌方无人机、火箭炮和迫击炮。
"美国电信公司Verizon与美国国防部签订了三项企业基础设施解决方案（EIS）任务订单，总价值达9.665亿美元，旨在为五角大楼及其他地方提供增强的技术支持和网络现代化服务。公共和私人合作伙伴还计划共同制定和完善美国国防领域的长期战略信息技术愿景。

根据价值5.153亿美元的五角大楼任务订单，Verizon将与美国国防部合作，将整个五角大楼的军事和文职人员从基于铜线的电话服务转变为基于先进互联网协议的服务，为五角大楼的语音和数据服务提供一个融合企业环境。该努力将涉及将超过52,000条语音线路转换为集成环境，以实现语音和视频服务，并将提供专门的支持团队来帮助实施升级和引入新设备。

根据价值近4.33亿美元的另一项EIS任务订单，Verizon将为美国国防部国家首都地区的370多个地点提供核心语音、传输、互联网和专业服务。

第三项价值1830万美元的订单将支持该电信公司在贝尔沃瓦尔堡提供全新通信技术基础设施，包括核心语音、传输、互联网和托管服务。

Verizon公共部门高级副总裁Maggie Hallbach在向Nextgov发表的声明中表示：“在2021年获得的5G和其他专业服务奖项的基础上，我们的专业和托管服务专家团队与美国国防部的战略重点保持一致，我们随时准备帮助他们的领导层适应日益复杂的要求和不断增长的网络基础设施需求。”",近日，威瑞森通信公司获得了美国防部总价值9.665亿美元的企业基础设施解决方案相关的三份合同，旨在为国防部及相关场所提供增强技术支持和网络现代化服务。其中，第一份合同价值5.153亿美元，将基于互联网高级服务协议为国防部的语音和数据服务提供一个聚合的企业环境；第二份合同价值4.33亿美元，将向国防部、国家首都地区内370余站点提供核心语音、传输、互联网和专业服务；第三份合同价值1830万美元，将支持威瑞森公司研发新的通信技术基础设施。美国防部此举将为军方和业界共同制定和完善国防领域的长期战略信息技术愿景奠定了合作基础，以期适应日益复杂的网络安全环境和不断增长的网络基础设施需求。
"空客已完成Sentinel-1卫星系列的第三个仪器。它采用了一种全球首创的新分离机制，有助于避免太空碎片。Copernicus Sentinel-1C卫星的C频段雷达现已运往意大利罗马的Thales Alenia Space设施，将进行集成和测试。该卫星计划于2023年上半年发射。
该仪器产生的C频段雷达波束可以以几毫米的精度确定地球表面的变化，为海上和陆地监测、应急响应、气候变化和安全提供图像。合成孔径雷达（SAR）具有在云层遮挡或缺乏照明的情况下工作的优势，并且可以在白天或黑夜、各种天气条件下获取站点的数据。在陆地和开放海洋上具有主要操作模式允许预编程操作。通常，雷达图像在宽幅（250公里）上获取，具有高几何（通常为5米乘20米）分辨率。
与其两个前身基本相同，Sentinel-1C的新雷达仪器具有一个特殊功能，这是空客首次使用的一项专利发明。它在卫星的主要连接点处安装了焊接接头，当暴露于强热时会熔化并将雷达天线与卫星平台分离。然后，两个部分分别暴露于全摩擦热并在卫星寿命结束时重新进入地球大气层时更早更快地燃烧。因此，空客的这一发明有助于避免太空碎片并保护轨道环境。
这个长12.3米x 0.9米的雷达在德国弗里德里希斯哈芬（Friedrichshafen）进行了建造和测试，其中电子子系统由英国朴茨茅斯（Portsmouth）制造。
T/R模块（发送和接收）和前端电子设备由Thales Alenia Space根据空客的规格开发和生产。
自2014年4月以来，Sentinel-1任务一直为欧洲领导的全球最大环境计划Copernicus提供全天候、全天候的图像。Copernicus是欧洲委员会（EC）和欧洲航天局（ESA）的联合计划。
截至2022年5月底，超过620,000名用户拥有超过39,000,000个Sentinel-1产品，相当于48,000,000吉字节的数据。",空客公司近日交付了“哨兵-1C”卫星雷达设备部分，这部C波段合成孔径雷达（SAR）目前正运往意大利罗马的泰勒斯阿莱尼亚公司太空设施与其卫星平台进行集成，开展测试活动。“哨兵-1C”计划于2023年上半年发射，其C波段雷达能以毫米级精度测量地表变化，为监测海洋和陆地、应急响应、气候变化和安全问题提供图像。这部新雷达与“哨兵-1”系列卫星的前两部雷达基本相同，但采用了空客公司首次申请专利的一项新发明，即在与卫星的主要连接点处安装焊接头，当暴露在强加热环境中时，这些接头会熔化使雷达天线与卫星平台分离。在卫星7.25年寿命结束后坠入地球大气层时，雷达天线和卫星平台将会分离，分别暴露大气中发生摩擦生热，更早更快地燃烧，从而避免形成太空碎片以保护轨道环境。12.3米x 0.9米的雷达由德国制造测试，电子子系统在英国制造，T/R模块和前端电子设备由泰勒斯阿莱尼亚航天公司按照空客公司的技术规范开发和生产。
美国众议院年度国防授权法案中的一项条款要求五角大楼建立关键弹药储备，并建立一个试点计划，以更好地掌握参与生产的分包商的情况。如果生效，该立法将要求国防部采购制造五角大楼关键弹药清单上每种产品所需的子组件，以“提供快速访问所需关键弹药库存量的能力，以加快交付此类弹药”。该立法要求国防部评估其能力，以“补充解决空中优势、干扰、空中和导弹防御以及硬目标和深埋目标任务领域的关键弹药库存”。该立法还要求国防部实施试点计划，以确定亚层供应商，包括负责与弹药相关的受控非机密信息的存储和处理的供应商。该立法还要求国防部采购和维持副部长每季度向国会报告关键弹药储备的状况。此前，美军曾表示对用于制造“毒蛇”防空导弹和“矛”反坦克导弹所需的某些组件进行先期采购资金感兴趣，以帮助缓解生产中的供应链问题。国会上个月通过的400亿美元的乌克兰援助计划中包括5亿美元用于补充美国关键弹药储备。该计划还包括6亿美元的国防生产法资金，以帮助疏通弹药供应链并加快导弹生产。美国已将至少四分之一的“毒蛇”导弹和至少三分之一的“矛”导弹库存发送到乌克兰。雷神公司表示，在供应链短缺问题得到解决之前，他们将无法开始生产额外的“毒蛇”导弹供美国库存使用，这可能要到明年。,"在6月20日公布的众议院年度国防授权法案中，有一项条款要求美国国防部建立关键弹药储备，并设立一个试点项目，以便更好地监督参与弹药生产的分包商。如果该法案得以通过，将要求负责采办和保障的国防部副部长比尔?拉普兰特采购国防部关键弹药清单上每种产品所需的组件，以便提供快速获取一年或几年关键弹药库存的能力，加速弹药交付。
这项法案要求评估国防部补充关键弹药库存的能力，使部队能够保持空中优势，有效完成拦截、防空反导以及打击坚硬和深埋目标等任务。该法案要求国防部实施一项试点计划，以确定二级供应商，包括负责储存和处理与弹药有关的受控非保密信息的供应商。该法案还要求负责采办和保障的国防部副部长每季度向国会报告关键弹药储备状况。
美国陆军此前表示有兴趣为制造“毒刺”防空导弹和“标枪”反坦克导弹所需的某些部件提供先期采购资金，以帮助改善生产中的供应链停滞问题。美国国会5月通过的400亿美元乌克兰援助计划包括用于补充美国关键弹药库存的5亿美元，还包括6亿美元的《国防生产法》资金，用于帮助疏通弹药供应链和加快导弹生产。美国已将至少四分之一的“毒刺”导弹和至少三分之一的“标枪”导弹库存运往乌克兰。雷声公司表示，由于供应链短缺，它要到明年才能开始为美国生产更多的“毒刺”导弹。"
